HSN Code,Description,Rate (%),CESS (%),Effective Date,Rate Revision
63051050,"SACKS AND BAGS, OF A KIND USED FOR THE PACKING OF GOODS OF JUTE OR OF OTHER TEXTILE BAST FIBRES OF HEADING 5303: JUTE WOOL SACKS",18%,,01/01/2020,
63051060,"SACKS AND BAGS, OF A KIND USED FOR THE PACKING OF GOODS OF JUTE OR OF OTHER TEXTILE BAST FIBRES OF HEADING 5303: PLASTIC COATED OR PAPER CUM POLYTHENE LINED JUTE BAGS AND SACKS",18%,,01/01/2020,
63051070,"SACKS AND BAGS, OF A KIND USED FOR THE PACKING OF GOODS OF JUTE OR OF OTHER TEXTILE BAST FIBRES OF HEADING 5303: PAPER LAMINATED HESSIAN JUTE",18%,,01/01/2020,
63051080,"SACKS AND BAGS, OF A KIND USED FOR THE PACKING OF GOODS OF JUTE OR OF OTHER TEXTILE BAST FIBRES OF HEADING 5303: JUTE SOIL SAVERS",18%,,01/01/2020,
63051090,"SACKS AND BAGS, OF A KIND USED FOR THE PACKING OF GOODS OF JUTE OR OF OTHER TEXTILE BAST FIBRES OF HEADING 5303: OTHER",18%,,01/01/2020,
63052000,"SACKS AND BAGS, OF A KIND USED FOR THE PACKING OF GOODS OF COTTON",18%,,01/01/2020,
63053200,"SACKS AND BAGS, OF A KIND USED FOR THE PACKING OF GOODS OF MAN-MADE TEXTILE MATERIALS: FLEXIBLE INTERMEDIATE BULK CONTAINERS",18%,,01/01/2020         1/01/2019,
63053300,"SACKS AND BAGS, OF A KIND USED FOR THE PACKING OF GOODS OF MAN-MADE TEXTILE MATERIALS: OTHER, OF POLYETHYLENE OR POLYPROPYLENE STRIP OR THE LIKE",0%,,01/07/2017,
63053900,"SACKS AND BAGS, OF A KIND USED FOR THE PACKING OF GOODS OF MAN-MADE TEXTILE MATERIALS: OTHER",18%,,01/01/2020,
63059000,"SACKS AND BAGS, OF A KIND USED FOR THE PACKING OF GOODS OF OTHER TEXTILE MATERIALS",18%,,01/01/2020,
6306,"TARPAULINS, AWNINGS AND SUNBLINDS; TENTS; SAILS FOR BOATS, SAILBOARDS OR LANDCRAFT; CAMPING GOODS - TARPAULINS, AWNINGS AND SUNBLINDS(sale value not exceeding Rs. 1000 per piece)",5%,,01/07/2017,
6306,"TARPAULINS, AWNINGS AND SUNBLINDS; TENTS; SAILS FOR BOATS, SAILBOARDS OR LANDCRAFT; CAMPING GOODS - TARPAULINS, AWNINGS AND SUNBLINDS(sale value exceeding Rs. 1000 per piece)",12%,,15/11/2017        1/07/2017,
63061100,"TARPAULINS, AWNINGS AND SUNBLINDS; TENTS; SAILS FOR BOATS, SAILBOARDS OR LANDCRAFT; CAMPING GOODS TARPAULINS, AWNINGS AND SUNBLINDS: OF COTTON",12%,,15/11/2017        1/07/2017,
63061200,"TARPAULINS, AWNINGS AND SUNBLINDS; TENTS; SAILS FOR BOATS, SAILBOARDS OR LANDCRAFT; CAMPING GOODS TARPAULINS, AWNINGS AND SUNBLINDS: OF SYNTHETIC FIBRES",12%,,15/11/2017        1/07/2017,
630619,OF OTHER TEXTILE MATERIALS,12%,,15/11/2017        1/07/2017,
63061910,"TARPAULINS, AWNINGS AND SUNBLINDS; TENTS; SAILS FOR BOATS, SAILBOARDS OR LANDCRAFT; CAMPING GOODS TARPAULINS, AWNINGS AND SUNBLINDS:OF OTHER TEXTILE MATERIALS: JUTE TARPAULINS (INCLUDING DW TARPAULIN)",12%,,15/11/2017        1/07/2017,
63061920,"TARPAULINS, AWNINGS AND SUNBLINDS; TENTS; SAILS FOR BOATS, SAILBOARDS OR LANDCRAFT; CAMPING GOODS TARPAULINS, AWNINGS AND SUNBLINDS:OF OTHER TEXTILE MATERIALS: BLINDS OR AWNINGS OF COIR",12%,,15/11/2017        1/07/2017,
63061930,"TARPAULINS, AWNINGS AND SUNBLINDS; TENTS; SAILS FOR BOATS, SAILBOARDS OR LANDCRAFT; CAMPING GOODS TARPAULINS, AWNINGS AND SUNBLINDS:OF OTHER TEXTILE MATERIALS: VENETIAN OR AUSTRIAN BLINDS",12%,,15/11/2017        1/07/2017,
63061990,"TARPAULINS, AWNINGS AND SUNBLINDS; TENTS; SAILS FOR BOATS, SAILBOARDS OR LANDCRAFT; CAMPING GOODS TARPAULINS, AWNINGS AND SUNBLINDS:OF OTHER TEXTILE MATERIALS: OTHER",12%,,15/11/2017        1/07/2017,
