HSN Code,Description,Rate (%),CESS (%),Effective Date,Rate Revision
28151110,SODIUM HYDROXIDE (CAUSTIC SODA); POTASSIUM HYDROXIDE (CAUSTIC POTASH); PEROXIDES OF SODIUM OR POTASSIUM - SODIUM HYDROXIDE (CAUSTIC SODA) : - SOLID : FLAKES,18%,,01/07/2017,
28151190,SODIUM HYDROXIDE (CAUSTIC SODA); POTASSIUM HYDROXIDE (CAUSTIC POTASH); PEROXIDES OF SODIUM OR POTASSIUM - SODIUM HYDROXIDE (CAUSTIC SODA) : - SOLID : OTHER,18%,,01/07/2017,
28151200,SODIUM HYDROXIDE (CAUSTIC SODA); POTASSIUM HYDROXIDE (CAUSTIC POTASH); PEROXIDES OF SODIUM OR POTASSIUM - SODIUM HYDROXIDE (CAUSTIC SODA) : IN AQUEOUS SOLUTION (SODA LYE OR LIQUID SODA),18%,,01/07/2017,
28152000,SODIUM HYDROXIDE (CAUSTIC SODA); POTASSIUM HYDROXIDE (CAUSTIC POTASH); PEROXIDES OF SODIUM OR POTASSIUM - POTASSIUM HYDROXIDE (CAUSTIC POTASH),18%,,01/07/2017,
28153000,SODIUM HYDROXIDE (CAUSTIC SODA); POTASSIUM HYDROXIDE (CAUSTIC POTASH); PEROXIDES OF SODIUM OR POTASSIUM - PEROXIDES OF SODIUM OR POTASSIUM,18%,,01/07/2017,
2816,"HYDROXIDE AND PEROXIDE OF MAGNESIUM; OXIDES, HYDROXIDES AND PEROXIDES, OF STRONTIUM OR BARIUM",18%,,01/07/2017,
281610,HYDROXIDE AND PEROXIDE OF MAGNESIUM,18%,,01/07/2017,
28161010,"HYDROXIDE AND PEROXIDE OF MAGNESIUM; OXIDES, HYDROXIDES AND PEROXIDES, OF STRONTIUM OR BARIUM - HYDROXIDE AND PEROXIDE OF MAGNESIUM : HYDROXIDE OF MAGNESIUM",18%,,01/07/2017,
28161020,"HYDROXIDE AND PEROXIDE OF MAGNESIUM; OXIDES, HYDROXIDES AND PEROXIDES, OF STRONTIUM OR BARIUM - HYDROXIDE AND PEROXIDE OF MAGNESIUM : PEROXIDE OF MAGNESIUM",18%,,01/07/2017,
28164000,"HYDROXIDE AND PEROXIDE OF MAGNESIUM; OXIDES, HYDROXIDES AND PEROXIDES, OF STRONTIUM OR BARIUM - OXIDES, HYDROXIDES AND PEROXIDES, OF STRONTIUM OR BARIUM",18%,,01/07/2017,
2817,ZINC OXIDE; ZINC PEROXIDE,18%,,01/07/2017,
281700,ZINC OXIDE; ZINC PEROXIDE,18%,,01/07/2017,
28170010,ZINC OXIDE; ZINC PEROXIDE - ZINC OXIDE; ZINC PEROXIDE : ZINC OXIDE,18%,,01/07/2017,
28170020,ZINC OXIDE; ZINC PEROXIDE - ZINC OXIDE; ZINC PEROXIDE : ZINC PEROXIDE,18%,,01/07/2017,
2818,"ARTIFICIAL CORUNDUM, WHETHER OR NOT CHEMICALLY DEFINED; ALUMINIUM OXIDE; ALUMINIUM HYDROXIDE",18%,,01/07/2017,
28181000,"ARTIFICIAL CORUNDUM, WHETHER OR NOT CHEMICALLY DEFINED; ALUMINIUM OXIDE; ALUMINIUM HYDROXIDE ARTIFICIAL CORUNDUM, WHETHER OR NOT CHEMICALLY DEFINED",18%,,01/07/2017,
281820,"ALUMINIUM OXIDE, OTHER THAN ARTIFICIAL CORUNDUM",18%,,01/07/2017,
28182010,"ARTIFICIAL CORUNDUM, WHETHER OR NOT CHEMICALLY DEFINED; ALUMINIUM OXIDE; ALUMINIUM HYDROXIDE - ALUMINIUM OXIDE, OTHER THAN ARTIFICIAL CORUNDUM : ALUMINA, CALCINED",18%,,01/07/2017,
28182090,"ARTIFICIAL CORUNDUM, WHETHER OR NOT CHEMICALLY DEFINED; ALUMINIUM OXIDE; ALUMINIUM HYDROXIDE - ALUMINIUM OXIDE, OTHER THAN ARTIFICIAL CORUNDUM : OTHER",18%,,01/07/2017,
28183000,"ARTIFICIAL CORUNDUM, WHETHER OR NOT CHEMICALLY DEFINED; ALUMINIUM OXIDE; ALUMINIUM HYDROXIDE -ALUMINIUM HYDROXIDE",18%,,01/07/2017,
2819,CHROMIUM OXIDES AND HYDROXIDES,18%,,01/07/2017,
28191000,CHROMIUM OXIDES AND HYDROXIDES - CHROMIUM TRIOXIDE,18%,,01/07/2017,
28199000,CHROMIUM OXIDES AND HYDROXIDES - OTHER,18%,,01/07/2017,
2820,MANGANESE OXIDES,18%,,01/07/2017,
28201000,MANGANESE OXIDES - MANGANESE DIOXIDE,18%,,01/07/2017,
28209000,MANGANESE OXIDES - OTHER,18%,,01/07/2017,
2821,IRON OXIDES AND HYDROXIDES; EARTH COLOURS CONTAINING 70% OR MORE BY WEIGHT OF COMBINED IRON EVALUATED AS FE2O3,18%,,01/07/2017,
282110,IRON OXIDES AND HYDROXIDES,18%,,01/07/2017,
28211010,IRON OXIDES AND HYDROXIDES; EARTH COLOURS CONTAINING 70% OR MORE BY WEIGHT OF COMBINED IRON EVALUATED AS FE2O3 - IRON OXIDES AND HYDROXIDES : IRON OXIDES,18%,,01/07/2017,
28211020,IRON OXIDES AND HYDROXIDES; EARTH COLOURS CONTAINING 70% OR MORE BY WEIGHT OF COMBINED IRON EVALUATED AS FE2O3 - IRON OXIDES AND HYDROXIDES : IRON HYDROXIDES,18%,,01/07/2017,
28212000,IRON OXIDES AND HYDROXIDES; EARTH COLOURS CONTAINING 70% OR MORE BY WEIGHT OF COMBINED IRON EVALUATED AS FE2O3 - EARTH COLOURS,18%,,01/07/2017,
2822,COBALT OXIDES AND HYDROXIDES; COMMERCIAL COBALT OXIDES,18%,,01/07/2017,
282200,COBALT OXIDES AND HYDROXIDES; COMMERCIAL COBALT OXIDES,18%,,01/07/2017,
28220010,COBALT OXIDES AND HYDROXIDES; COMMERCIAL COBALT OXIDES - COBALT OXIDES AND HYDROXIDES; COMMERCIAL COBALT OXIDES : COBALT OXIDES,18%,,01/07/2017,
28220020,COBALT OXIDES AND HYDROXIDES; COMMERCIAL COBALT OXIDES - COBALT OXIDES AND HYDROXIDES; COMMERCIAL COBALT OXIDES : COBALT HYDROXIDES,18%,,01/07/2017,
28220030,COBALT OXIDES AND HYDROXIDES; COMMERCIAL COBALT OXIDES - COBALT OXIDES AND HYDROXIDES; COMMERCIAL COBALT OXIDES : COMMERCIAL COBALT OXIDES,18%,,01/07/2017,
2823,TITANIUM OXIDES,18%,,01/07/2017,
282300,TITANIUM OXIDES,18%,,01/07/2017,
28230010,TITANIUM OXIDES - TITANIUM OXIDES : TITANIUM DIOXIDE,18%,,01/07/2017,
28230090,TITANIUM OXIDES - TITANIUM OXIDES : OTHER,18%,,01/07/2017,
2824,LEAD OXIDES; RED LEAD AND ORANGE LEAD,18%,,01/07/2017,
282410,"LEAD MONOXIDE (LITHARGE, MASSICOT)",18%,,01/07/2017,
28241010,"LEAD OXIDES; RED LEAD AND ORANGE LEAD - LEAD MONOXIDE (LITHARGE, MASSICOT) : LITHARGE",18%,,01/07/2017,
28241020,"LEAD OXIDES; RED LEAD AND ORANGE LEAD - LEAD MONOXIDE (LITHARGE, MASSICOT) : MASSICOT",18%,,01/07/2017,
28242000,LEAD OXIDES; RED LEAD AND ORANGE LEAD -RED LEAD AND ORANGE LEAD,18%,,01/07/2017,
28249000,LEAD OXIDES; RED LEAD AND ORANGE LEAD - OTHER,18%,,01/07/2017,
2825,"HYDRAZINE AND HYDROXYLAMINE AND THEIR INORGANIC SALTS; OTHER INORGANIC BASES; OTHER METAL OXIDES, HYDROXIDES AND PEROXIDES",18%,,01/07/2017,
282510,HYDRAZINE AND HYDROXYLAMINE AND THEIR INORGANIC SALTS,18%,,01/07/2017,
28251010,"HYDRAZINE AND HYDROXYLAMINE AND THEIR INORGANIC SALTS; OTHER INORGANIC BASES; OTHER METAL OXIDES, HYDROXIDES AND PEROXIDES - HYDRAZINE AND HYDROXYLAMINE AND THEIR INORGANIC SALTS : HYDRAZINE ANHYDROUS",18%,,01/07/2017,
28251020,"HYDRAZINE AND HYDROXYLAMINE AND THEIR INORGANIC SALTS; OTHER INORGANIC BASES; OTHER METAL OXIDES, HYDROXIDES AND PEROXIDES - HYDRAZINE AND HYDROXYLAMINE AND THEIR INORGANIC SALTS : HYDRAZINE HYDRATE",18%,,01/07/2017,
28251030,"HYDRAZINE AND HYDROXYLAMINE AND THEIR INORGANIC SALTS; OTHER INORGANIC BASES; OTHER METAL OXIDES, HYDROXIDES AND PEROXIDES - HYDRAZINE AND HYDROXYLAMINE AND THEIR INORGANIC SALTS : HYDRAZINE SULPHATE",18%,,01/07/2017,
28251040,"HYDRAZINE AND HYDROXYLAMINE AND THEIR INORGANIC SALTS; OTHER INORGANIC BASES; OTHER METAL OXIDES, HYDROXIDES AND PEROXIDES - HYDRAZINE AND HYDROXYLAMINE AND THEIR INORGANIC SALTS : HYDROXYLAMINE SULPHATE",18%,,01/07/2017,
28251090,"HYDRAZINE AND HYDROXYLAMINE AND THEIR INORGANIC SALTS; OTHER INORGANIC BASES; OTHER METAL OXIDES, HYDROXIDES AND PEROXIDES - HYDRAZINE AND HYDROXYLAMINE AND THEIR INORGANIC SALTS : OTHER",18%,,01/07/2017,
28252000,"HYDRAZINE AND HYDROXYLAMINE AND THEIR INORGANIC SALTS; OTHER INORGANIC BASES; OTHER METAL OXIDES, HYDROXIDES AND PEROXIDES - LITHIUM OXIDE AND HYDROXIDE",18%,,01/07/2017,
282530,VANADIUM OXIDES AND HYDROXIDES,18%,,01/07/2017,
28253010,"HYDRAZINE AND HYDROXYLAMINE AND THEIR INORGANIC SALTS; OTHER INORGANIC BASES; OTHER METAL OXIDES, HYDROXIDES AND PEROXIDES - VANADIUM OXIDES AND HYDROXIDES : VANADIUM PENTAOXIDE FLAKES",18%,,01/07/2017,
28253090,"HYDRAZINE AND HYDROXYLAMINE AND THEIR INORGANIC SALTS; OTHER INORGANIC BASES; OTHER METAL OXIDES, HYDROXIDES AND PEROXIDES VANADIUM OXIDES AND HYDROXIDES : OTHER",18%,,01/07/2017,
